YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1901,999.9,999.9,999.9,999.9,999.9,999.9,27.39,25.41,21.22,15.64,7.62,4.66,999.9,999.9,25.75,14.83,999.9
1902,1.93,0.68,9.78,12.34,19.35,22.96,24.28,999.9,19.45,16.6,12.47,5.02,2.42,13.82,23.75,16.17,14.04
1903,4.21,5.95,12.12,13.8,19.05,20.62,26.47,24.64,20.84,14.93,999.9,999.9,5.06,14.99,23.91,15.02,14.74
1904,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1905,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1906,999.9,999.9,999.9,999.9,999.9,999.9,999.9,25.95,23.59,15.29,8.98,6.47,999.9,999.9,999.9,15.95,999.9
1907,9.17,1.84,11.49,10.15,17.04,19.67,25.36,23.88,21.87,13.41,8.53,5.45,5.83,12.89,22.97,14.6,14.07
1908,3.78,2.89,11.91,14.89,19.04,21.88,25.78,23.64,999.9,17,9.68,5.86,4.04,15.28,23.77,16.23,14.83
1909,6.38,8.35,7.77,14.07,18.27,24.06,999.9,23.12,20.09,13.53,11.25,2.24,6.86,13.37,24.11,14.96,14.82
1910,4.39,4.3,12.18,14.54,17.81,21.51,26.1,24.04,22.85,16.6,5.87,1.48,3.64,14.84,23.88,15.11,14.37
1911,7.13,6.28,7.5,11.15,20.46,23.52,26.44,25.42,24.46,17.94,9.53,6.48,4.96,13.04,25.13,17.31,15.11
1912,0.2,1.45,999.9,16.01,19.75,23.13,25.59,24.82,23.21,999.9,999.9,999.9,2.71,15.42,24.51,999.9,14.57
1913,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,10.09,5.69,999.9,999.9,999.9,999.9,999.9
1914,6.22,2.38,5.96,13.58,999.9,999.9,999.9,24.86,19.5,17.37,8.36,2.07,4.76,12.22,999.9,15.08,13.95
1915,4.24,5.65,4.33,14.03,999.9,999.9,999.9,999.9,999.9,999.9,999.9,2.97,3.99,11.63,999.9,999.9,999.9
1916,6.93,3.92,6.62,12.63,19.67,22,23.9,999.9,19.83,999.9,8.77,999.9,4.61,12.97,23.08,14.28,13.73
1917,4.2,2.64,8.01,13.72,16.1,999.9,999.9,999.9,999.9,999.9,999.9,999.9,3.77,12.61,999.9,999.9,999.9
1918,999.9,999.9,999.9,999.9,21.22,21.53,23.39,25.13,17.84,16.84,9.38,6.11,999.9,999.9,23.35,14.69,999.9
1919,4.82,4.06,10.28,13.36,18.81,21.8,24.54,23.52,20.76,19.99,9.49,2.36,5,14.15,23.29,16.75,14.79
1920,2.26,2.04,8.5,13.02,15.31,22.31,23.69,23.57,20.74,16.88,8.7,5.47,2.22,12.28,23.19,15.44,13.28
1921,5.18,5.66,15.01,15.67,17.09,23.04,25.99,23.66,24.73,15.35,11.75,4.97,5.44,15.92,24.23,17.28,15.72
1922,2,6.3,9.57,15.04,19.03,23.83,24.77,22.92,21.11,16.62,9.39,5.65,4.42,14.55,23.84,15.71,14.63
1923,4.88,2.69,9.64,12.93,17.38,24.17,999.9,999.9,999.9,999.9,999.9,999.9,4.41,13.32,999.9,999.9,999.9
1924,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1925,999.9,999.9,999.9,999.9,999.9,25.35,999.9,22.49,23.44,13.65,8.17,3.7,999.9,999.9,24.44,15.09,999.9
1926,3.28,5.33,6.01,11.72,17.44,21.84,25.75,25.8,21.73,999.9,8.43,3.23,4.1,11.72,24.46,15.06,13.84
1927,2.98,999.9,999.9,999.9,18.88,20.6,24.41,22.21,21.42,16.53,12,5.5,3.1,999.9,22.41,16.65,13.8
1928,999.9,4.92,8.62,12.57,17.89,22.75,25.56,25.62,18.84,16.11,9.92,4.57,4.86,13.03,24.64,14.96,14.37
1929,4.06,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,4.31,999.9,999.9,999.9,999.9
1930,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1931,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,12.35,9.04,999.9,999.9,999.9,999.9,999.9
1932,9.69,7.68,7.55,12.73,18.14,23.77,25.57,25.17,21.13,15.66,9.2,6.56,8.8,12.81,24.84,15.33,15.44
1933,7.59,5.65,7.7,13.63,21.25,23.51,24.54,24.97,23.91,15.3,8.22,7.13,6.6,14.19,24.34,15.81,15.24
1934,5.83,-1.17,7,13.94,19.32,25.51,26.41,24.45,22.26,14.45,10.56,4.39,3.93,13.42,25.46,15.76,14.64
1935,3.34,999.9,12.01,12.08,17.53,23.34,25,23.97,20.59,15.13,11.41,0.73,3.86,13.87,24.1,15.71,14.39
1936,0.49,0.93,11.53,12.24,19.89,23.16,26.03,25.59,22.21,16.38,8.48,5.68,0.72,14.55,24.93,15.69,13.97
1937,8.6,4.25,6.94,13.36,18.83,24.34,25.14,25.39,19.48,13.9,8.33,4.18,6.18,13.04,24.96,13.9,14.52
1938,3.53,7.53,12.05,15.31,19.12,22.64,25.09,25.56,20.85,14.89,11.46,5.58,5.08,15.49,24.43,15.73,15.18
1939,5.77,8.14,9.91,13.99,19.62,25.06,24.96,25.25,22.5,16.46,7.37,5.04,6.5,14.51,25.09,15.44,15.38
1940,-2.46,4.11,7.28,12.01,18.8,24.45,24.83,24.21,19.76,14.01,9.35,6.74,2.23,12.7,24.5,14.37,13.45
1941,3,1.67,5.19,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,3.8,999.9,999.9,999.9,999.9
1942,999.9,999.9,999.9,999.9,20.74,24.29,26.6,24.44,22.28,16.05,11.1,4.09,999.9,999.9,25.11,16.48,999.9
1943,5.2,5.66,9,12.33,20.44,26.13,25.6,24.99,20.03,14.18,8.7,3.97,4.98,13.92,25.57,14.3,14.7
1944,3.88,5.48,7.96,13.9,21.59,24.54,25.41,24.1,22.04,14.68,8.54,2.54,4.44,14.48,24.68,15.09,14.67
1945,1.98,5.43,14.28,15.82,17.31,23.83,24.88,23.61,23.63,14.5,10.91,1.31,3.32,15.8,24.11,16.35,14.89
1946,4.06,6.3,12.31,13.58,18.71,22.74,24.29,22.61,21.15,15.98,12.05,7.49,3.89,14.87,23.21,16.39,14.59
1947,7.85,1.75,4.46,14.8,19.23,22.19,23.93,25.6,21.84,18,8.67,4.06,5.7,12.83,23.91,16.17,14.65
1948,0.61,5.26,11.68,14.56,19.22,23.38,25.64,24.11,20.19,13.87,13.06,6.58,3.31,15.15,24.38,15.71,14.64
1949,8.92,8.96,9.92,13.52,18.84,23.7,26.82,24.77,20.06,17.76,9.65,7,8.15,14.09,25.1,15.82,15.79
1950,10.96,5.77,8.36,13.12,18.04,22.83,25.09,23.6,20.34,16.8,9.42,999.9,7.91,13.17,23.84,15.52,15.11
1951,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1952,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1953,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1954,999.9,999.9,999.9,15.88,17.69,23.52,25.47,24.95,23.24,17.27,8.03,4.32,999.9,14.33,24.65,16.18,15.02
1955,2.63,4.93,10.82,16.05,19.65,21.27,27.26,26.59,21.66,15.94,8.95,2.45,3.96,15.51,25.04,15.52,15.01
1956,2.3,6.6,8.7,12.83,18.58,23.65,25.65,24.87,20.68,16.73,9.9,10.05,3.78,13.37,24.72,15.77,14.41
1957,3.03,6.33,8.69,16.49,19.75,24.58,25.77,23.93,22.66,12.98,10.73,6.87,6.47,14.98,24.76,15.46,15.42
1958,1.64,1.55,5.98,999.9,18.83,21.53,26.91,25.1,20.99,15.58,11.88,1.82,3.35,12.41,24.51,16.15,14.11
1959,3.79,5.53,9.18,15.41,20.62,24.04,25.66,26.1,22.2,17.51,10.06,6.26,3.71,15.07,25.27,16.59,15.16
1960,4.57,4.71,2.69,16.43,18.39,23.3,24.67,25.78,21.84,15.76,10.61,1.73,5.18,12.5,24.58,16.07,14.58
1961,1.27,6.16,10.66,12.13,17.47,22.43,25.87,25.14,23.51,15.7,11.02,4.11,3.05,13.42,24.48,16.74,14.42
1962,3.52,4.45,7.14,14.14,20.79,23.02,23.98,24.26,19.93,16.47,8.75,2.48,4.03,14.02,23.75,15.05,14.21
1963,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1964,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,11.95,7.31,999.9,999.9,999.9,999.9,999.9
1965,3.78,4.45,6.39,12.6,20.91,22.1,24.7,24.92,22.52,14.24,10.18,6.08,5.18,13.3,23.91,15.65,14.51
1966,1.24,3.61,9.27,12.33,18.37,22.44,25.58,24.79,20.42,14.39,9.89,4.23,3.64,13.32,24.27,14.9,14.03
1967,6.14,3.1,8.93,14.93,16.18,22.11,24.14,23.94,19.09,14.53,7.29,5.98,4.49,13.35,23.4,13.64,13.72
1968,1.35,1.02,10.51,13.32,17.78,23.14,25.51,25.74,20.89,16.39,11.32,3.62,2.78,13.87,24.8,16.2,14.41
1969,2.08,3.08,6.09,14.71,18.33,24.18,25.8,23.79,20.36,15.58,8.88,3.45,2.93,13.04,24.59,14.94,13.88
1970,0.16,4.12,6.31,13.19,20.1,23.76,24.81,24.78,23.52,17.29,10.58,5.79,2.58,13.2,24.45,17.13,14.34
1971,1.82,4.59,7.57,12.66,18.07,24.03,24.95,24.35,22.33,18.83,9.92,10.23,4.07,12.77,24.44,17.03,14.58
1972,6.06,4.03,8.74,13.2,18.07,21.3,25.1,24.05,21.19,13.97,9.34,8.28,6.77,13.34,23.48,14.83,14.61
1973,3.64,3.48,11.13,13.6,17.77,24.07,25.49,25.33,23.08,16.54,11.35,6.42,5.13,14.17,24.96,16.99,15.31
1974,8.39,5.08,11.19,15.3,19.1,21.64,24.92,24.55,20.97,14.03,9.82,6.4,6.63,15.2,23.7,14.94,15.12
1975,5.55,6.33,8.16,11.19,19.7,23.34,24.54,25.74,21.06,17.1,12.28,5.51,6.09,13.02,24.54,16.81,15.12
1976,2.66,9.55,11.39,14.82,17.94,23.39,24.78,24.03,21.13,13.14,6.23,3.42,5.91,14.72,24.07,13.5,14.55
1977,-2.83,4.78,11.4,15.5,19.21,21.97,26.77,26.4,23.15,14.31,11.5,4.7,1.79,15.37,25.05,16.32,14.63
1978,1.38,-0.69,6.7,13.7,17.15,22.66,24.61,25.91,21.58,14.61,12.46,7.08,1.8,12.52,24.39,16.22,13.73
1979,3.72,-0.62,10.5,14.09,19.46,21.15,24.57,25.07,21.57,15.23,12.36,6.3,3.39,14.68,23.6,16.39,14.52
1980,3.36,1.32,7.81,14.72,19.62,23.1,26.79,26.68,23.76,14.39,8.38,4.42,3.66,14.05,25.52,15.51,14.69
1981,-0.11,6.27,6.96,15.92,17.94,25.24,25.81,23.54,20.42,14.61,9.19,3.28,3.53,13.61,24.86,14.74,14.18
1982,0.67,5.22,8.86,12.65,20.19,22.45,25.4,23.74,20.86,14.95,11.17,8.43,3.06,13.9,23.86,15.66,14.12
1983,3.18,4.1,10.2,12.06,18.1,22.66,26.17,25.63,21.7,15.62,10.16,3.34,5.24,13.45,24.82,15.83,14.83
1984,0.43,6.82,6.33,12.33,19.37,24.47,24.55,25.18,20.54,19.5,9.37,9.71,3.53,12.68,24.73,16.47,14.35
1985,0.9,4.47,10.44,16.35,20.09,22.79,25.14,23.96,21.36,16.94,13.81,3.2,5.03,15.63,23.96,17.37,15.5
1986,3.31,4.84,9.4,14.56,20.12,24.69,27.03,999.9,999.9,999.9,999.9,999.9,3.78,14.69,25.99,999.9,15.17
1987,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1988,999.9,999.9,999.9,999.9,999.9,22.52,26.44,26.42,20.7,12.79,11,5.16,999.9,999.9,25.13,14.83,999.9
1989,5.93,4.52,9.09,12.72,17.92,24.64,25.5,24.68,22.05,16.16,10.2,-0.21,5.2,13.24,24.94,16.14,14.88
1990,7.89,9.05,11.45,14.17,18.31,23.26,26.53,24.82,20.84,17.52,11.46,8.65,5.58,14.64,24.87,16.61,15.42
1991,5.16,6.77,10.45,15.29,22.13,23.15,26.58,25.61,21.53,15.6,10.13,7.49,6.86,15.96,25.11,15.75,15.92
1992,5.08,6.15,7.82,13.85,16.26,20.89,26.01,22.83,21.97,13.71,10.88,5.63,6.24,12.64,23.24,15.52,14.41
1993,5.83,3.03,6.96,13.05,19.31,23.6,27.62,25.42,22.38,15.65,10.8,3.73,4.83,13.11,25.55,16.28,14.94
1994,1.79,4.95,10.15,16.99,17.41,25.01,26.54,24.04,21.01,15.02,12.37,8.14,3.49,14.85,25.2,16.13,14.92
1995,5.02,3.42,9.98,14.56,18.69,22.93,26.67,25.87,20.71,16.94,8.27,2.75,5.53,14.41,25.16,15.31,15.1
1996,2.33,4.18,6.85,14.4,18.55,23.83,24.63,23.85,21.39,15.53,7.28,7.3,3.09,13.27,24.1,14.73,13.8
1997,4.21,7.24,10.62,11.81,17.28,22.07,25.6,23.91,22.01,15.36,8.59,5.49,6.25,13.24,23.86,15.32,14.67
1998,7.23,7.08,10.34,15.23,20,24.08,25.87,25.59,23.16,15.58,999.9,999.9,6.6,15.19,25.18,16.5,15.87
1999,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
2000,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
2001,999.9,999.9,999.9,999.9,18.65,23.88,24.12,25.64,20.36,15.78,13.22,9.03,999.9,999.9,24.55,16.45,999.9
2002,6.44,7.32,10.92,16.47,18.65,24.32,26.75,26.12,22.38,17.01,9.2,4.51,7.6,15.35,25.73,16.2,16.22
2003,1.16,3.4,10.67,13.93,17.84,22.36,25.51,25.96,21.7,15.63,13.21,5.34,3.02,14.15,24.61,16.85,14.66
2004,1.92,4.36,10.61,14.64,22.7,23.26,25.75,23.98,21.74,15.57,11.43,6.32,3.87,15.98,24.33,16.25,15.11
2005,4.57,5.15,6.94,14.31,16.86,23.72,27.17,26.43,23.56,16.4,12.32,4.11,5.35,12.7,25.77,17.43,15.31
2006,8.15,4.86,9.52,15.61,18.61,23.36,26.31,26.23,20.36,14.8,11.32,8.15,5.71,14.58,25.3,15.49,15.27
2007,6.66,2.2,10.43,13.48,18.4,23.13,24.87,25.74,21.95,19.05,9.17,6.9,5.67,14.1,24.58,16.72,15.27
2008,4.59,6.91,10.38,15.09,18.27,25.63,25.98,24.9,22.82,14.51,9.16,7.4,6.13,14.58,25.5,15.5,15.43
2009,2.2,5.8,8.53,15.23,20.04,23.75,24.51,26.03,20.72,15.64,12.11,4.77,5.13,14.6,24.76,16.16,15.16
2010,2.29,2.24,10.48,16.25,20.75,26.09,27.51,26.61,23.38,16.4,10.05,0.98,3.1,15.83,26.74,16.61,15.57
2011,1.41,6.99,8.76,16.6,20.32,24.63,26.78,25.3,22.8,15.26,12.34,8.21,3.13,15.23,25.57,16.8,15.18
2012,6.46,7.03,14.45,14.48,20.67,22.76,27.58,25.33,21.67,16.72,8.74,8.95,7.23,16.53,25.22,15.71,16.18
2013,5.96,5.34,7.02,15.5,19.53,23.97,26.4,23.71,20.52,16.19,8.69,6.47,6.75,14.02,24.69,15.13,15.15
2014,1.23,4.32,7.16,14.46,20.65,23.98,25.41,23.55,22.4,16.73,8.27,6.51,4.01,14.09,24.31,15.8,14.55
2015,2.93,-0.18,7.94,14.84,21.24,24.99,25.97,24.77,23.32,15.71,12.68,12.73,3.09,14.67,25.24,17.24,15.06
2016,3.65,6.12,12.7,14.32,18.29,23.66,27.34,27.24,24.22,17.68,10.9,6.22,7.5,15.1,26.08,17.6,16.57
2017,6.1,9.82,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,7.38,999.9,999.9,999.9,999.9
